Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.0.1-10.0.0.2-28449-5535-6,10.0.0.1,28449,10.0.0.2,5535,6,11/02/2021 03:55:13 pm,1752456,47,0,0,0,0,0,0,0,0,0,0,0,0,26.8195035995198,38096.8695652174,123.273428459872,38524,37945,1752456,38096.8695652174,123.273428459872,38524,37945,0,0,0,0,0,0,0,0,0,940,0,26.8195035995198,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1.61302111357356E+015,0,1.61302111357356E+015,1.61302111357356E+015,slowDDoS
10.0.0.1-10.0.0.2-10650-41263-6,10.0.0.1,10650,10.0.0.2,41263,6,11/02/2021 03:53:40 pm,2416650,18,0,0,0,0,0,0,0,0,0,0,0,0,7.44832722984296,142155.882352941,183.391617295113,142634,141950,2416650,142155.882352941,183.391617295113,142634,141950,0,0,0,0,0,0,0,0,0,360,0,7.44832722984296,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613021020349789,0,1613021020349789,1613021020349789,slowDDoS
10.0.0.1-10.0.0.2-23799-11341-6,10.0.0.1,23799,10.0.0.2,11341,6,11/02/2021 03:50:50 pm,2377650,20,0,0,0,0,0,0,0,0,0,0,0,0,8.41166698210418,125139.473684211,161.249071804755,125559,124961,2377650,125139.473684211,161.249071804755,125559,124961,0,0,0,0,0,0,0,0,0,400,0,8.41166698210418,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613020850005260,0,1613020850005260,1613020850005260,slowDDoS
10.0.0.1-10.0.0.2-7848-35948-6,10.0.0.1,7848,10.0.0.2,35948,6,11/02/2021 03:49:30 pm,360588,10,0,0,0,0,0,0,0,0,0,0,0,0,27.732481391505,40065.3333333333,80.0296819936201,40252,39967,360588,40065.3333333333,80.0296819936201,40252,39967,0,0,0,0,0,0,0,0,0,200,0,27.732481391505,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1.61302077025365E+015,0,1.61302077025365E+015,1.61302077025365E+015,slowDDoS
10.0.0.1-10.0.0.2-5670-28017-6,10.0.0.1,5670,10.0.0.2,28017,6,11/02/2021 03:53:43 pm,1212441,87,0,0,0,0,0,0,0,0,0,0,0,0,71.7560689551079,14098.1511627907,314.130490586761,16922,13971,1212441,14098.1511627907,314.130490586761,16922,13971,0,0,0,0,0,0,0,0,0,1740,0,71.7560689551079,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613021023858030,0,1613021023858030,1613021023858030,slowDDoS
10.0.0.1-10.0.0.2-29045-36229-6,10.0.0.1,29045,10.0.0.2,36229,6,11/02/2021 03:50:32 pm,1465542,35,0,0,0,0,0,0,0,0,0,0,0,0,23.8819494767124,43104.1764705882,174.439269728835,43577,42548,1465542,43104.1764705882,174.439269728835,43577,42548,0,0,0,0,0,0,0,0,0,700,0,23.8819494767124,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613020832725736,0,1613020832725736,1613020832725736,slowDDoS
10.0.0.1-10.0.0.2-27878-35238-6,10.0.0.1,27878,10.0.0.2,35238,6,11/02/2021 03:53:38 pm,290911,18,0,0,0,0,0,0,0,0,0,0,0,0,61.8745939479772,17112.4117647059,128.642459370695,17506,17007,290911,17112.4117647059,128.642459370695,17506,17007,0,0,0,0,0,0,0,0,0,360,0,61.8745939479772,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613021018981829,0,1613021018981829,1613021018981829,slowDDoS
10.0.0.1-10.0.0.2-19612-27014-6,10.0.0.1,19612,10.0.0.2,27014,6,11/02/2021 03:52:07 pm,62245,2,0,0,0,0,0,0,0,0,0,0,0,0,32.1310948670576,62245,0,62245,62245,62245,62245,0,62245,62245,0,0,0,0,0,0,0,0,0,40,0,32.1310948670576,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613020927697868,0,1613020927697868,1613020927697868,slowDDoS
10.0.0.1-10.0.0.2-22038-32033-6,10.0.0.1,22038,10.0.0.2,32033,6,11/02/2021 03:53:50 pm,600129,27,0,0,0,0,0,0,0,0,0,0,0,0,44.9903270796779,23081.8846153846,78.356277054529,23318,23025,600129,23081.8846153846,78.356277054529,23318,23025,0,0,0,0,0,0,0,0,0,540,0,44.9903270796779,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613021030574012,0,1613021030574012,1613021030574012,slowDDoS
10.0.0.1-10.0.0.2-12179-34157-6,10.0.0.1,12179,10.0.0.2,34157,6,11/02/2021 03:49:28 pm,165418,6,0,0,0,0,0,0,0,0,0,0,0,0,36.271747935533,33083.6,97.8457970482125,33233,32973,165418,33083.6,97.8457970482125,33233,32973,0,0,0,0,0,0,0,0,0,120,0,36.271747935533,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613020768977865,0,1613020768977865,1613020768977865,slowDDoS
