Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.0.2-10.0.0.7-22095-48227-6,10.0.0.2,22095,10.0.0.7,48227,6,11/02/2021 11:11:01 pm,2144541,119,0,0,0,0,0,0,0,0,0,0,0,0,55.4897295038892,18174.0762711864,197022.885198873,2140253,26,2144541,18174.0762711864,197022.885198873,2140253,26,0,0,0,0,0,0,0,0,0,2380,0,55.4897295038892,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613047261026293,0,1613047261026293,1613047261026293,discontinuousDDoS
10.0.0.2-10.0.0.7-30842-53522-6,10.0.0.2,30842,10.0.0.7,53522,6,11/02/2021 10:53:44 pm,35075908,440,0,0,0,0,0,0,0,0,0,0,0,0,12.5442226613207,79899.5626423691,563105.171846944,5117457,14,35075908,79899.5626423691,563105.171846944,5117457,14,0,0,0,0,0,0,0,0,0,8800,0,12.5442226613207,0,0,0,0,0,0,0,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,10855942.5,15350767.0818622,21710574,1311,537682078273097,931292669040930,1613046224603309,5098525,discontinuousDDoS
10.0.0.2-10.0.0.7-27873-32510-6,10.0.0.2,27873,10.0.0.7,32510,6,11/02/2021 11:06:04 pm,27959891,651,0,0,0,0,0,0,0,0,0,0,0,0,23.2833525710097,43015.2169230769,374864.145890133,4115708,35,27959891,43015.2169230769,374864.145890133,4115708,35,0,0,0,0,0,0,0,0,0,13020,0,23.2833525710097,0,0,0,0,0,0,0,651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613046964690954,0,1613046964690954,1613046964690954,discontinuousDDoS
10.0.0.2-10.0.0.7-22229-34091-6,10.0.0.2,22229,10.0.0.7,34091,6,11/02/2021 11:08:00 pm,21584986,401,0,0,0,0,0,0,0,0,0,0,0,0,18.5777280559737,53962.465,486721.180728786,5117790,25,21584986,53962.465,486721.180728786,5117790,25,0,0,0,0,0,0,0,0,0,8020,0,18.5777280559737,0,0,0,0,0,0,0,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,15142.5,1528.05775414413,16223,14062,537682363730643,931293163460427,1613047080967314,5106824,discontinuousDDoS
10.0.0.2-10.0.0.7-24262-41852-6,10.0.0.2,24262,10.0.0.7,41852,6,11/02/2021 11:11:30 pm,14368323,255,0,0,0,0,0,0,0,0,0,0,0,0,17.7473738584524,56568.2007874016,469322.426320771,5092049,28,14368323,56568.2007874016,469322.426320771,5092049,28,0,0,0,0,0,0,0,0,0,5100,0,17.7473738584524,0,0,0,0,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,7191981,0,7191981,7191981,806523648003167,1.14059667417946E+015,1613047290914284,5092049,discontinuousDDoS
10.0.0.2-10.0.0.7-30362-9456-6,10.0.0.2,30362,10.0.0.7,9456,6,11/02/2021 11:18:38 pm,23659911,345,0,0,0,0,0,0,0,0,0,0,0,0,14.5816271244638,68778.8110465116,493808.496829365,4095407,3,23659911,68778.8110465116,493808.496829365,4095407,3,0,0,0,0,0,0,0,0,0,6900,0,14.5816271244638,0,0,0,0,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613047718882373,0,1613047718882373,1613047718882373,discontinuousDDoS
10.0.0.2-10.0.0.7-36137-38439-6,10.0.0.2,36137,10.0.0.7,38439,6,11/02/2021 11:20:22 pm,19550861,323,0,0,0,0,0,0,0,0,0,0,0,0,16.5210115298758,60716.9596273292,498238.351729972,5095044,91,19550861,60716.9596273292,498238.351729972,5095044,91,0,0,0,0,0,0,0,0,0,6460,0,16.5210115298758,0,0,0,0,0,0,0,323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,5084,0,5084,5084,806523913979066,1.14059705032195E+015,1613047822863088,5095044,discontinuousDDoS
10.0.0.2-10.0.0.7-25232-59164-6,10.0.0.2,25232,10.0.0.7,59164,6,11/02/2021 10:58:33 pm,26892994,467,0,0,0,0,0,0,0,0,0,0,0,0,17.3651174726027,57710.287553648,453917.950596667,5111688,78,26892994,57710.287553648,453917.950596667,5111688,78,0,0,0,0,0,0,0,0,0,9340,0,17.3651174726027,0,0,0,0,0,0,0,467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,15568059,0,15568059,15568059,806523259411429,1.14059612459998E+015,1613046513711170,5111688,discontinuousDDoS
10.0.0.2-10.0.0.7-30824-29429-6,10.0.0.2,30824,10.0.0.7,29429,6,11/02/2021 10:48:23 pm,7177788,179,0,0,0,0,0,0,0,0,0,0,0,0,24.938044979874,40324.6516853932,382506.095425871,4079432,31,7177788,40324.6516853932,382506.095425871,4079432,31,0,0,0,0,0,0,0,0,0,3580,0,24.938044979874,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1.61304590365418E+015,0,1.61304590365418E+015,1.61304590365418E+015,discontinuousDDoS
10.0.0.2-10.0.0.7-20677-23130-6,10.0.0.2,20677,10.0.0.7,23130,6,11/02/2021 11:17:05 pm,2105419,141,0,0,0,0,0,0,0,0,0,0,0,0,66.9700425426008,15038.7071428571,176446.494693242,2087869,27,2105419,15038.7071428571,176446.494693242,2087869,27,0,0,0,0,0,0,0,0,0,2820,0,66.9700425426008,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613047625947337,0,1613047625947337,1613047625947337,discontinuousDDoS
