Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.0.2-10.0.0.7-34998-44968-6,10.0.0.2,34998,10.0.0.7,44968,6,11/02/2021 05:17:24 pm,15458796,186,0,0,0,0,0,0,0,0,0,0,0,0,12.0319848971421,83561.0594594595,522934.653407888,4084616,71,15458796,83561.0594594595,522934.653407888,4084616,71,0,0,0,0,0,0,0,0,0,3720,0,12.0319848971421,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613026044196729,0,1613026044196729,1613026044196729,discontinuousDDoS
10.0.0.2-10.0.0.7-23872-52768-6,10.0.0.2,23872,10.0.0.7,52768,6,11/02/2021 04:46:08 pm,18679663,373,0,0,0,0,0,0,0,0,0,0,0,0,19.9682403263913,50214.1478494624,418132.250499622,5087252,24,18679663,50214.1478494624,418132.250499622,5087252,24,0,0,0,0,0,0,0,0,0,7460,0,19.9682403263913,0,0,0,0,0,0,0,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,5201446,0,5201446,5201446,806512086962214,1.14058032440533E+015,1613024168837176,5087252,discontinuousDDoS
10.0.0.2-10.0.0.7-20999-23348-6,10.0.0.2,20999,10.0.0.7,23348,6,11/02/2021 05:09:22 pm,23915807,535,0,0,0,0,0,0,0,0,0,0,0,0,22.3701420570922,44786.1554307116,374609.227195592,4125675,17,23915807,44786.1554307116,374609.227195592,4125675,17,0,0,0,0,0,0,0,0,0,10700,0,22.3701420570922,0,0,0,0,0,0,0,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613025562285669,0,1613025562285669,1613025562285669,discontinuousDDoS
10.0.0.2-10.0.0.7-26343-12619-6,10.0.0.2,26343,10.0.0.7,12619,6,11/02/2021 05:24:23 pm,5098699,43,0,0,0,0,0,0,0,0,0,0,0,0,8.43352392443641,121397.595238095,785973.07367849,5093807,68,5098699,121397.595238095,785973.07367849,5093807,68,0,0,0,0,0,0,0,0,0,860,0,8.43352392443641,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,2061,0,2061,2061,806513234511777,1140581947276216,1613026463929746,5093807,discontinuousDDoS
10.0.0.2-10.0.0.7-39739-54631-6,10.0.0.2,39739,10.0.0.7,54631,6,11/02/2021 04:27:20 pm,26731977,375,0,0,0,0,0,0,0,0,0,0,0,0,14.0281431485595,71475.8743315507,531409.597478928,5104968,19,26731977,71475.8743315507,531409.597478928,5104968,19,0,0,0,0,0,0,0,0,0,7500,0,14.0281431485595,0,0,0,0,0,0,0,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,2583,0,2583,2583,806511522679543,1140579526364070,1613023040254117,5104968,discontinuousDDoS
10.0.0.2-10.0.0.7-28394-31382-6,10.0.0.2,28394,10.0.0.7,31382,6,11/02/2021 05:00:01 pm,15461421,379,0,0,0,0,0,0,0,0,0,0,0,0,24.5126240337159,40903.2301587302,403395.003635253,5093842,77,15461421,40903.2301587302,403395.003635253,5093842,77,0,0,0,0,0,0,0,0,0,7580,0,24.5126240337159,0,0,0,0,0,0,0,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,10354205,0,10354205,10354205,806512503511768,1.14058091348604E+015,1613025001929694,5093842,discontinuousDDoS
10.0.0.2-10.0.0.7-29310-46905-6,10.0.0.2,29310,10.0.0.7,46905,6,11/02/2021 05:01:25 pm,24853510,258,0,0,0,0,0,0,0,0,0,0,0,0,10.3808274968003,96706.2645914397,568320.450327157,4117092,20,24853510,96706.2645914397,568320.450327157,4117092,20,0,0,0,0,0,0,0,0,0,5160,0,10.3808274968003,0,0,0,0,0,0,0,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613025085469884,0,1613025085469884,1613025085469884,discontinuousDDoS
10.0.0.2-10.0.0.7-31133-24714-6,10.0.0.2,31133,10.0.0.7,24714,6,11/02/2021 04:30:03 pm,24698115,572,0,0,0,0,0,0,0,0,0,0,0,0,23.1596621847457,43254.1418563923,404977.355880608,5116680,32,24698115,43254.1418563923,404977.355880608,5116680,32,0,0,0,0,0,0,0,0,0,11440,0,23.1596621847457,0,0,0,0,0,0,0,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,8203554,0,8203554,8203554,806511604135177,1.14057964154317E+015,1613023203153674,5116680,discontinuousDDoS
10.0.0.2-10.0.0.7-23272-15700-6,10.0.0.2,23272,10.0.0.7,15700,6,11/02/2021 04:31:00 pm,4110581,117,0,0,0,0,0,0,0,0,0,0,0,0,28.4631296646386,35436.0431034483,380428.272693024,4097452,73,4110581,35436.0431034483,380428.272693024,4097452,73,0,0,0,0,0,0,0,0,0,2340,0,28.4631296646386,0,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613023260885557,0,1613023260885557,1613023260885557,discontinuousDDoS
10.0.0.2-10.0.0.7-25934-39828-6,10.0.0.2,25934,10.0.0.7,39828,6,11/02/2021 05:03:52 pm,19402439,115,0,0,0,0,0,0,0,0,0,0,0,0,5.92708988802903,170196.833333333,899870.492908122,5127133,0,19402439,170196.833333333,899870.492908122,5127133,0,0,0,0,0,0,0,0,0,0,2300,0,5.92708988802903,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,469,415.08914705157,827,14,403256311998095,806512613797169,1613025232693849,5084685,discontinuousDDoS
10.0.0.2-10.0.0.7-39123-17586-6,10.0.0.2,39123,10.0.0.7,17586,6,11/02/2021 05:21:21 pm,19618017,386,0,0,0,0,0,0,0,0,0,0,0,0,19.6757908814127,50955.8883116883,431861.144813963,5086587,15,19618017,50955.8883116883,431861.144813963,5086587,15,0,0,0,0,0,0,0,0,0,7720,0,19.6757908814127,0,0,0,0,0,0,0,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,10293695,0,10293695,10293695,806513143323837,1.14058181832721E+015,1613026281561086,5086587,discontinuousDDoS
10.0.0.2-10.0.0.7-30954-14308-6,10.0.0.2,30954,10.0.0.7,14308,6,11/02/2021 04:31:19 pm,4200360,81,0,0,0,0,0,0,0,0,0,0,0,0,19.2840613661686,52504.5,329554.943605594,2108201,30,4200360,52504.5,329554.943605594,2108201,30,0,0,0,0,0,0,0,0,0,1620,0,19.2840613661686,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613023279476915,0,1613023279476915,1613023279476915,discontinuousDDoS
