Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.0.3-10.0.0.7-19548-38903-6,10.0.0.3,19548,10.0.0.7,38903,6,11/02/2021 03:17:25 pm,4415,29,0,0,0,0,0,0,0,0,0,0,0,0,6568.51642129105,157.678571428571,22.3524852730876,206,112,4415,157.678571428571,22.3524852730876,206,112,0,0,0,0,0,0,0,0,0,580,0,6568.51642129105,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1.61301884580181E+015,0,1.61301884580181E+015,1.61301884580181E+015,fastDDoS
10.0.0.3-10.0.0.7-44757-47982-6,10.0.0.3,44757,10.0.0.7,47982,6,11/02/2021 03:18:18 pm,138,29,0,0,0,0,0,0,0,0,0,0,0,0,210144.927536232,4.92857142857143,1.86445447147161,14,4,138,4.92857142857143,1.86445447147161,14,4,0,0,0,0,0,0,0,0,0,580,0,210144.927536232,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613018898686057,0,1613018898686057,1613018898686057,fastDDoS
10.0.0.3-10.0.0.7-23168-52524-6,10.0.0.3,23168,10.0.0.7,52524,6,11/02/2021 03:18:05 pm,5150,34,0,0,0,0,0,0,0,0,0,0,0,0,6601.94174757282,156.060606060606,21.0608336046134,228,128,5150,156.060606060606,21.0608336046134,228,128,0,0,0,0,0,0,0,0,0,680,0,6601.94174757282,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613018885477796,0,1613018885477796,1613018885477796,fastDDoS
10.0.0.3-10.0.0.7-43733-52253-6,10.0.0.3,43733,10.0.0.7,52253,6,11/02/2021 03:18:20 pm,10363,76,0,0,0,0,0,0,0,0,0,0,0,0,7333.78365338222,138.173333333333,26.4663852754687,235,87,10363,138.173333333333,26.4663852754687,235,87,0,0,0,0,0,0,0,0,0,1520,0,7333.78365338222,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1.61301890096174E+015,0,1.61301890096174E+015,1.61301890096174E+015,fastDDoS
10.0.0.3-10.0.0.7-16000-61339-6,10.0.0.3,16000,10.0.0.7,61339,6,11/02/2021 03:17:32 pm,7504,76,0,0,0,0,0,0,0,0,0,0,0,0,10127.9317697228,100.053333333333,16.8954602357135,169,85,7504,100.053333333333,16.8954602357135,169,85,0,0,0,0,0,0,0,0,0,1520,0,10127.9317697228,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613018852405658,0,1613018852405658,1613018852405658,fastDDoS
10.0.0.3-10.0.0.7-28092-14668-6,10.0.0.3,28092,10.0.0.7,14668,6,11/02/2021 03:17:56 pm,8287,73,0,0,0,0,0,0,0,0,0,0,0,0,8808.97791721974,115.097222222222,28.4283927315991,219,90,8287,115.097222222222,28.4283927315991,219,90,0,0,0,0,0,0,0,0,0,1460,0,8808.97791721974,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613018876593539,0,1613018876593539,1613018876593539,fastDDoS
10.0.0.3-10.0.0.7-29399-56591-6,10.0.0.3,29399,10.0.0.7,56591,6,11/02/2021 03:17:52 pm,2885,27,0,0,0,0,0,0,0,0,0,0,0,0,9358.75216637782,110.961538461538,22.2377710559863,179,91,2885,110.961538461538,22.2377710559863,179,91,0,0,0,0,0,0,0,0,0,540,0,9358.75216637782,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1.61301887219773E+015,0,1.61301887219773E+015,1.61301887219773E+015,fastDDoS
10.0.0.3-10.0.0.7-39391-34465-6,10.0.0.3,39391,10.0.0.7,34465,6,11/02/2021 03:17:14 pm,12912,94,0,0,0,0,0,0,0,0,0,0,0,0,7280.04956629492,138.838709677419,49.7170888131647,316,72,12912,138.838709677419,49.7170888131647,316,72,0,0,0,0,0,0,0,0,0,1880,0,7280.04956629492,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613018834781557,0,1613018834781557,1613018834781557,fastDDoS
10.0.0.3-10.0.0.7-23300-36821-6,10.0.0.3,23300,10.0.0.7,36821,6,11/02/2021 03:18:19 pm,75750,74,0,0,0,0,0,0,0,0,0,0,0,0,976.897689768977,1037.67123287671,49.1774154336793,1255,993,75750,1037.67123287671,49.1774154336793,1255,993,0,0,0,0,0,0,0,0,0,1480,0,976.897689768977,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613018899773917,0,1613018899773917,1613018899773917,fastDDoS
10.0.0.3-10.0.0.7-21290-41731-6,10.0.0.3,21290,10.0.0.7,41731,6,11/02/2021 03:18:06 pm,8913,52,0,0,0,0,0,0,0,0,0,0,0,0,5834.17480085269,174.764705882353,72.1336504650344,441,86,8913,174.764705882353,72.1336504650344,441,86,0,0,0,0,0,0,0,0,0,1040,0,5834.17480085269,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613018886577796,0,1613018886577796,1613018886577796,fastDDoS
