Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.0.1-10.0.0.2-45075-23172-6,10.0.0.1,45075,10.0.0.2,23172,6,13/02/2021 12:21:50 am,119626798,240,0,0,0,0,0,0,0,0,0,0,0,0,2.00623943808978,500530.535564854,319.680929739436,501547,500038,119626798,500530.535564854,319.680929739436,501547,500038,0,0,0,0,0,0,0,0,0,4800,0,2.00623943808978,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613137910703211,0,1613137910703211,1613137910703211,slowDDoS
10.0.0.1-10.0.0.2-45085-16608-6,10.0.0.1,45085,10.0.0.2,16608,6,13/02/2021 12:25:04 am,119963311,845,0,0,0,0,0,0,0,0,0,0,0,0,7.04382025601144,142136.624407583,176.054976104498,143002,141965,119963311,142136.624407583,176.054976104498,143002,141965,0,0,0,0,0,0,0,0,0,16900,0,7.04382025601144,0,0,0,0,0,0,0,845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1.61313810489917E+015,0,1.61313810489917E+015,1.61313810489917E+015,slowDDoS
10.0.0.1-10.0.0.2-45815-17039-6,10.0.0.1,45815,10.0.0.2,17039,6,13/02/2021 12:28:31 am,119944258,600,0,0,0,0,0,0,0,0,0,0,0,0,5.00232366271339,200240.831385643,244.411271251895,200944,199929,119944258,200240.831385643,244.411271251895,200944,199929,0,0,0,0,0,0,0,0,0,12000,0,5.00232366271339,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613138311687398,0,1613138311687398,1613138311687398,slowDDoS
10.0.0.1-10.0.0.2-45655-27449-6,10.0.0.1,45655,10.0.0.2,27449,6,13/02/2021 12:39:30 am,1903348,26,0,0,0,0,0,0,0,0,0,0,0,0,13.660139921864,76133.92,145.842357816009,76505,75975,1903348,76133.92,145.842357816009,76505,75975,0,0,0,0,0,0,0,0,0,520,0,13.660139921864,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613138970523394,0,1613138970523394,1613138970523394,slowDDoS
10.0.0.1-10.0.0.2-45910-59345-6,10.0.0.1,45910,10.0.0.2,59345,6,13/02/2021 12:33:27 am,1160642,78,0,0,0,0,0,0,0,0,0,0,0,0,67.2041852698765,15073.2727272727,83.6706633432905,15442,14958,1160642,15073.2727272727,83.6706633432905,15442,14958,0,0,0,0,0,0,0,0,0,1560,0,67.2041852698765,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613138607883412,0,1613138607883412,1613138607883412,slowDDoS
10.0.0.1-10.0.0.2-45136-12331-6,10.0.0.1,45136,10.0.0.2,12331,6,13/02/2021 12:39:33 am,4848085,269,0,0,0,0,0,0,0,0,0,0,0,0,55.4858258467003,18089.8694029851,233.794785243668,20984,17972,4848085,18089.8694029851,233.794785243668,20984,17972,0,0,0,0,0,0,0,0,0,5380,0,55.4858258467003,0,0,0,0,0,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613138973518447,0,1613138973518447,1613138973518447,slowDDoS
10.0.0.1-10.0.0.2-45618-45384-6,10.0.0.1,45618,10.0.0.2,45384,6,13/02/2021 12:43:17 am,13014657,53,0,0,0,0,0,0,0,0,0,0,0,0,4.07233167958249,250281.865384615,259.873199007891,250788,250004,13014657,250281.865384615,259.873199007891,250788,250004,0,0,0,0,0,0,0,0,0,1060,0,4.07233167958249,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613139197319554,0,1613139197319554,1613139197319554,slowDDoS
10.0.0.1-10.0.0.2-45228-10485-6,10.0.0.1,45228,10.0.0.2,10485,6,13/02/2021 12:21:05 am,13108983,524,0,0,0,0,0,0,0,0,0,0,0,0,39.9725897882391,25064.9770554493,75.7142708710526,25600,24922,13108983,25064.9770554493,75.7142708710526,25600,24922,0,0,0,0,0,0,0,0,0,10480,0,39.9725897882391,0,0,0,0,0,0,0,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613137865306935,0,1613137865306935,1613137865306935,slowDDoS
10.0.0.1-10.0.0.2-45772-32641-6,10.0.0.1,45772,10.0.0.2,32641,6,13/02/2021 12:43:31 am,41058486,622,0,0,0,0,0,0,0,0,0,0,0,0,15.1491216700002,66116.7246376811,148.121396991941,66717,65907,41058486,66116.7246376811,148.121396991941,66717,65907,0,0,0,0,0,0,0,0,0,12440,0,15.1491216700002,0,0,0,0,0,0,0,622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613139211411374,0,1613139211411374,1613139211411374,slowDDoS
10.0.0.1-10.0.0.2-45250-25489-6,10.0.0.1,45250,10.0.0.2,25489,6,13/02/2021 12:47:24 am,942142,68,0,0,0,0,0,0,0,0,0,0,0,0,72.1759564906352,14061.8208955224,67.2590931946583,14370,13946,942142,14061.8208955224,67.2590931946583,14370,13946,0,0,0,0,0,0,0,0,0,1360,0,72.1759564906352,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613139444443373,0,1613139444443373,1613139444443373,slowDDoS
