Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.0.2-10.0.0.7-10888-25816-6,10.0.0.2,10888,10.0.0.7,25816,6,13/02/2021 04:44:34 pm,15343781,244,0,0,0,0,0,0,0,0,0,0,0,0,15.9022081975753,63143.1316872428,564548.001318863,5113793,109,15343781,63143.1316872428,564548.001318863,5113793,109,0,0,0,0,0,0,0,0,0,4880,0,15.9022081975753,0,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,7349.33333333333,6295.29390365004,14332,2108,403299222540433,806598434876453,1.61319687485511E+015,5094941,discontinuousDDoS
10.0.0.2-10.0.0.7-8592-48699-6,10.0.0.2,8592,10.0.0.7,48699,6,13/02/2021 02:35:48 pm,3122007,173,0,0,0,0,0,0,0,0,0,0,0,0,55.413072424245,18151.2034883721,235711.341620999,3091502,57,3122007,18151.2034883721,235711.341620999,3091502,57,0,0,0,0,0,0,0,0,0,3460,0,55.413072424245,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613189148903308,0,1613189148903308,1613189148903308,discontinuousDDoS
10.0.0.2-10.0.0.7-9995-25992-6,10.0.0.2,9995,10.0.0.7,25992,6,13/02/2021 07:29:12 am,22654733,301,0,0,0,0,0,0,0,0,0,0,0,0,13.2864068625307,75515.7766666667,538926.481830054,5101711,89,22654733,75515.7766666667,538926.481830054,5101711,89,0,0,0,0,0,0,0,0,0,6020,0,13.2864068625307,0,0,0,0,0,0,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,14426332,0,14426332,14426332,806581778674420,1140678883349470,1613163552247129,5101711,discontinuousDDoS
10.0.0.2-10.0.0.7-9279-28720-6,10.0.0.2,9279,10.0.0.7,28720,6,14/02/2021 02:53:49 am,27942705,579,0,0,0,0,0,0,0,0,0,0,0,0,20.7209717169472,48343.7802768166,431512.820358663,5120552,122,27942705,48343.7802768166,431512.820358663,5120552,122,0,0,0,0,0,0,0,0,0,11580,0,20.7209717169472,0,0,0,0,0,0,0,579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,5178414.5,7321715.24548589,10355649,1180,537744479849030,931400751730912,1613233429319553,5106984,discontinuousDDoS
10.0.0.2-10.0.0.7-10996-29326-6,10.0.0.2,10996,10.0.0.7,29326,6,14/02/2021 05:18:42 pm,31928735,422,0,0,0,0,0,0,0,0,0,0,0,0,13.2169345262191,75840.2256532066,563213.221652937,5115776,11,31928735,75840.2256532066,563213.221652937,5115776,11,0,0,0,0,0,0,0,0,0,8440,0,13.2169345262191,0,0,0,0,0,0,0,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,3133555.33333333,2758747.89801775,5257970,15664,403321334344485,806642658472555,1.61328532205332E+015,5100701,discontinuousDDoS
10.0.0.2-10.0.0.7-9904-55030-6,10.0.0.2,9904,10.0.0.7,55030,6,14/02/2021 09:21:06 pm,18571814,292,0,0,0,0,0,0,0,0,0,0,0,0,15.7227506155295,63820.6666666666,493861.378721233,5116699,37,18571814,63820.6666666666,493861.378721233,5116699,37,0,0,0,0,0,0,0,0,0,5840,0,15.7227506155295,0,0,0,0,0,0,0,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,2981,0,2981,2981,806649935654185,1.14077527185343E+015,1.61329986619167E+015,5116699,discontinuousDDoS
10.0.0.2-10.0.0.7-10655-16131-6,10.0.0.2,10655,10.0.0.7,16131,6,13/02/2021 08:07:07 am,34930150,326,0,0,0,0,0,0,0,0,0,0,0,0,9.33291153917175,107477.384615385,688690.138686269,5107455,67,34930150,107477.384615385,688690.138686269,5107455,67,0,0,0,0,0,0,0,0,0,6520,0,9.33291153917175,0,0,0,0,0,0,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,1034783.5,2057860.44741191,4121565,537,322633169673680,721429687775256,1613165827955218,5095235,discontinuousDDoS
10.0.0.2-10.0.0.7-7173-24249-6,10.0.0.2,7173,10.0.0.7,24249,6,14/02/2021 09:08:07 am,38204148,513,0,0,0,0,0,0,0,0,0,0,0,0,13.4278612887794,74617.4765625,553017.599943679,5117407,111,38204148,74617.4765625,553017.599943679,5117407,111,0,0,0,0,0,0,0,0,0,10260,0,13.4278612887794,0,0,0,0,0,0,0,513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,7624511.33333333,3195312.16068185,10386196,4124744,403313975675460,806627941130803,1613255887371664,5095522,discontinuousDDoS
10.0.0.2-10.0.0.7-8992-17527-6,10.0.0.2,8992,10.0.0.7,17527,6,13/02/2021 09:47:46 am,13352775,203,0,0,0,0,0,0,0,0,0,0,0,0,15.2028323700504,66102.8465346534,541295.782100133,5101759,113,13352775,66102.8465346534,541295.782100133,5101759,113,0,0,0,0,0,0,0,0,0,4060,0,15.2028323700504,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,8241734,0,8241734,8241734,806585936040703,1.14068476275318E+015,1.61317186697965E+015,5101759,discontinuousDDoS
10.0.0.2-10.0.0.7-8259-34086-6,10.0.0.2,8259,10.0.0.7,34086,6,14/02/2021 05:42:44 pm,15327791,218,0,0,0,0,0,0,0,0,0,0,0,0,14.2225321313423,70634.9815668202,596941.595677725,5111811,34,15327791,70634.9815668202,596941.595677725,5111811,34,0,0,0,0,0,0,0,0,0,4360,0,14.2225321313423,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,5930,5594.89419024167,11634,451,403321694917337,806643379633258,1.61328676436722E+015,5088248,discontinuousDDoS
