Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.0.3-10.0.0.2-12404-57018-6,10.0.0.3,12404,10.0.0.2,57018,6,13/02/2021 01:23:40 pm,29038026,638,0,0,0,0,0,0,0,0,0,0,0,0,21.9711904659084,45585.5981161696,376708.555451543,5094900,18,29038026,45585.5981161696,376708.555451543,5094900,18,0,0,0,0,0,0,0,0,0,12760,0,21.9711904659084,0,0,0,0,0,0,0,638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,23940638,0,23940638,23940638,806592412921080,1.14069392245495E+015,1613184820747259,5094900,discontinuousDDoS
10.0.0.3-10.0.0.2-13229-46805-6,10.0.0.3,13229,10.0.0.2,46805,6,14/02/2021 12:06:31 am,4129413,118,0,0,0,0,0,0,0,0,0,0,0,0,28.5754900272751,35294.1282051282,381261.019730025,4124015,24,4129413,35294.1282051282,381261.019730025,4124015,24,0,0,0,0,0,0,0,0,0,2360,0,28.5754900272751,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613223391138304,0,1613223391138304,1613223391138304,discontinuousDDoS
10.0.0.3-10.0.0.2-13952-3551-6,10.0.0.3,13952,10.0.0.2,3551,6,14/02/2021 07:05:37 pm,8228236,193,0,0,0,0,0,0,0,0,0,0,0,0,23.4558172614398,42855.3958333333,430095.789192854,5106935,65,8228236,42855.3958333333,430095.789192854,5106935,65,0,0,0,0,0,0,0,0,0,3860,0,23.4558172614398,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,5155,0,5155,5155,806645871413162,1140769524162460,1613291737719388,5106935,discontinuousDDoS
10.0.0.3-10.0.0.2-12671-30870-6,10.0.0.3,12671,10.0.0.2,30870,6,13/02/2021 07:46:13 pm,13456424,168,0,0,0,0,0,0,0,0,0,0,0,0,12.4847433463749,80577.3892215569,541647.621196725,5098584,77,13456424,80577.3892215569,541647.621196725,5098584,77,0,0,0,0,0,0,0,0,0,3360,0,12.4847433463749,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,13049,0,13049,13049,806603889359089,1.14071015258402E+015,1613207773619594,5098584,discontinuousDDoS
10.0.0.3-10.0.0.2-13494-57316-6,10.0.0.3,13494,10.0.0.2,57316,6,13/02/2021 06:49:11 am,19602683,381,0,0,0,0,0,0,0,0,0,0,0,0,19.4361149440615,51586.0078947369,454304.996731758,5109861,74,19602683,51586.0078947369,454304.996731758,5109861,74,0,0,0,0,0,0,0,0,0,7620,0,19.4361149440615,0,0,0,0,0,0,0,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,14490108,0,14490108,14490108,806580578464572,1.1406771859849E+015,1.61316115181928E+015,5109861,discontinuousDDoS
10.0.0.3-10.0.0.2-12500-29089-6,10.0.0.3,12500,10.0.0.2,29089,6,14/02/2021 02:46:03 am,15507996,307,0,0,0,0,0,0,0,0,0,0,0,0,19.7962393077739,50679.7254901961,456570.097535422,5099494,97,15507996,50679.7254901961,456570.097535422,5099494,97,0,0,0,0,0,0,0,0,0,6140,0,19.7962393077739,0,0,0,0,0,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,6276272,0,6276272,6276272,806616484181681,1.14072796435166E+015,1613232963263867,5099494,discontinuousDDoS
10.0.0.3-10.0.0.2-13439-44134-6,10.0.0.3,13439,10.0.0.2,44134,6,13/02/2021 01:40:26 pm,24671187,339,0,0,0,0,0,0,0,0,0,0,0,0,13.7407251625145,72991.6775147929,559373.79779978,5118239,36,24671187,72991.6775147929,559373.79779978,5118239,36,0,0,0,0,0,0,0,0,0,6780,0,13.7407251625145,0,0,0,0,0,0,0,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,7220234,10208002.7968162,14438382,2086,537728612118269,931373268014365,1613185826126499,5110069,discontinuousDDoS
10.0.0.3-10.0.0.2-13171-5268-6,10.0.0.3,13171,10.0.0.2,5268,6,13/02/2021 09:08:37 pm,7198335,80,0,0,0,0,0,0,0,0,0,0,0,0,11.113681149877,91118.164556962,573498.996121144,4084419,55,7198335,91118.164556962,573498.996121144,4084419,55,0,0,0,0,0,0,0,0,0,1600,0,11.113681149877,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613212717715174,0,1613212717715174,1613212717715174,discontinuousDDoS
10.0.0.3-10.0.0.2-14770-32457-6,10.0.0.3,14770,10.0.0.2,32457,6,13/02/2021 04:53:46 am,35998494,502,0,0,0,0,0,0,0,0,0,0,0,0,13.9450278114412,71853.2814371257,547622.527154841,5117178,1,35998494,71853.2814371257,547622.527154841,5117178,1,0,0,0,0,0,0,0,0,0,10040,0,13.9450278114412,0,0,0,0,0,0,0,502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,6885436.66666667,8613260.93670593,16545664,6355,403288560579172,806577110930334,1613154226974673,5110885,discontinuousDDoS
10.0.0.3-10.0.0.2-12756-36838-6,10.0.0.3,12756,10.0.0.2,36838,6,13/02/2021 02:04:31 am,16600826,405,0,0,0,0,0,0,0,0,0,0,0,0,24.3963764212696,41091.1534653466,375929.910518078,4110641,6,16600826,41091.1534653466,375929.910518078,4110641,6,0,0,0,0,0,0,0,0,0,8100,0,24.3963764212696,0,0,0,0,0,0,0,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613144071679091,0,1613144071679091,1613144071679091,discontinuousDDoS
10.0.0.3-10.0.0.2-13953-24521-6,10.0.0.3,13953,10.0.0.2,24521,6,13/02/2021 03:33:02 am,18465233,220,0,0,0,0,0,0,0,0,0,0,0,0,11.9142823705501,84316.1324200913,629488.765748715,5132094,95,18465233,84316.1324200913,629488.765748715,5132094,95,0,0,0,0,0,0,0,0,0,4400,0,11.9142823705501,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,6279,8801.23042534395,16396,386,403287349506114,806574688790104,1613149382691269,5093428,discontinuousDDoS
10.0.0.3-10.0.0.2-13667-26895-6,10.0.0.3,13667,10.0.0.2,26895,6,14/02/2021 06:45:34 pm,15442862,260,0,0,0,0,0,0,0,0,0,0,0,0,16.8362574243039,59624.9498069498,494630.567307359,5098229,51,15442862,59624.9498069498,494630.567307359,5098229,51,0,0,0,0,0,0,0,0,0,5200,0,16.8362574243039,0,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,18091,0,18091,18091,806645269930780,1140768673550230,1613290534763330,5098229,discontinuousDDoS
10.0.0.3-10.0.0.2-12968-47835-6,10.0.0.3,12968,10.0.0.2,47835,6,14/02/2021 05:47:02 pm,27763464,327,0,0,0,0,0,0,0,0,0,0,0,0,11.7780691919423,85164,593096.832865144,5114709,22,27763464,85164,593096.832865144,5114709,22,0,0,0,0,0,0,0,0,0,6540,0,11.7780691919423,0,0,0,0,0,0,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,6722684,702779.287685686,7219624,6225744,537762344223136,931431693753338,1613287022463614,5091086,discontinuousDDoS
10.0.0.3-10.0.0.2-11695-13848-6,10.0.0.3,11695,10.0.0.2,13848,6,14/02/2021 07:48:48 am,21652057,254,0,0,0,0,0,0,0,0,0,0,0,0,11.7309870373979,85581.2529644269,569122.828682445,5111972,74,21652057,85581.2529644269,569122.828682445,5111972,74,0,0,0,0,0,0,0,0,0,5080,0,11.7309870373979,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,4111693,0,4111693,4111693,806625566571760,1140740808773244,1.61325112803155E+015,5111972,discontinuousDDoS
10.0.0.3-10.0.0.2-14759-30646-6,10.0.0.3,14759,10.0.0.2,30646,6,13/02/2021 04:22:37 pm,3114383,148,0,0,0,0,0,0,0,0,0,0,0,0,47.5214512794348,21186.2789115646,255772.734734274,3101170,26,3114383,21186.2789115646,255772.734734274,3101170,26,0,0,0,0,0,0,0,0,0,2960,0,47.5214512794348,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613195557703099,0,1613195557703099,1613195557703099,discontinuousDDoS
10.0.0.3-10.0.0.2-11295-21291-6,10.0.0.3,11295,10.0.0.2,21291,6,13/02/2021 05:46:08 am,15568567,377,0,0,0,0,0,0,0,0,0,0,0,0,24.2154592648122,41405.7632978723,384615.06863732,5103738,67,15568567,41405.7632978723,384615.06863732,5103738,67,0,0,0,0,0,0,0,0,0,7540,0,24.2154592648122,0,0,0,0,0,0,0,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,6204582,0,6204582,6204582,806578686743440,1.14067451069588E+015,1613157368383143,5103738,discontinuousDDoS
10.0.0.3-10.0.0.2-11965-23970-6,10.0.0.3,11965,10.0.0.2,23970,6,14/02/2021 01:35:00 pm,15553005,269,0,0,0,0,0,0,0,0,0,0,0,0,17.2956930188089,58033.6007462687,429533.609151717,4099788,62,15553005,58033.6007462687,429533.609151717,4099788,62,0,0,0,0,0,0,0,0,0,5380,0,17.2956930188089,0,0,0,0,0,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613271900811624,0,1613271900811624,1613271900811624,discontinuousDDoS
10.0.0.3-10.0.0.2-12569-30320-6,10.0.0.3,12569,10.0.0.2,30320,6,14/02/2021 04:28:47 pm,7188512,24,0,0,0,0,0,0,0,0,0,0,0,0,3.33866035140513,312544,1129782.15441035,5094667,61,7188512,312544,1129782.15441035,5094667,61,0,0,0,0,0,0,0,0,0,480,0,3.33866035140513,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,1582,0,1582,1582,806641166508892,1140762870440382,1613282327923117,5094667,discontinuousDDoS
10.0.0.3-10.0.0.2-11925-31831-6,10.0.0.3,11925,10.0.0.2,31831,6,14/02/2021 08:16:07 pm,2117168,94,0,0,0,0,0,0,0,0,0,0,0,0,44.398932914157,22765.247311828,218386.112623981,2106159,64,2117168,22765.247311828,218386.112623981,2106159,64,0,0,0,0,0,0,0,0,0,1880,0,44.398932914157,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1.61329596772755E+015,0,1.61329596772755E+015,1.61329596772755E+015,discontinuousDDoS
