Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.0.4-10.0.0.3-45812-38420-6,10.0.0.4,45812,10.0.0.3,38420,6,12/02/2021 01:58:10 pm,119669327,360,0,0,0,0,0,0,0,0,0,0,0,0,3.00828966807844,333340.743732591,284.922426095552,334613,332943,119669327,333340.743732591,284.922426095552,334613,332943,0,0,0,0,0,0,0,0,0,7200,0,3.00828966807844,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613100490051117,0,1613100490051117,1613100490051117,slowDDoS
10.0.0.4-10.0.0.3-45361-37829-6,10.0.0.4,45361,10.0.0.3,37829,6,12/02/2021 02:06:50 pm,119156315,120,0,0,0,0,0,0,0,0,0,0,0,0,1.00708048918767,1001313.57142857,259.011208821942,1001963,1000538,119156315,1001313.57142857,259.011208821942,1001963,1000538,0,0,0,0,0,0,0,0,0,2400,0,1.00708048918767,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613101010954405,0,1613101010954405,1613101010954405,slowDDoS
10.0.0.4-10.0.0.3-45809-34244-6,10.0.0.4,45809,10.0.0.3,34244,6,12/02/2021 02:18:57 pm,119904130,959,0,0,0,0,0,0,0,0,0,0,0,0,7.99805644726333,125160.887265136,200.672739568922,126921,124765,119904130,125160.887265136,200.672739568922,126921,124765,0,0,0,0,0,0,0,0,0,19180,0,7.99805644726333,0,0,0,0,0,0,0,959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613101737501300,0,1613101737501300,1613101737501300,slowDDoS
10.0.0.4-10.0.0.3-45123-36806-6,10.0.0.4,45123,10.0.0.3,36806,6,12/02/2021 02:39:37 pm,119147503,120,0,0,0,0,0,0,0,0,0,0,0,0,1.00715497159852,1001239.5210084,399.360863294298,1004007,1000303,119147503,1001239.5210084,399.360863294298,1004007,1000303,0,0,0,0,0,0,0,0,0,2400,0,1.00715497159852,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1.61310297787743E+015,0,1.61310297787743E+015,1.61310297787743E+015,slowDDoS
10.0.0.4-10.0.0.3-45423-5008-6,10.0.0.4,45423,10.0.0.3,5008,6,12/02/2021 02:42:49 pm,119929202,600,0,0,0,0,0,0,0,0,0,0,0,0,5.00295165809575,200215.696160267,263.031442291722,202825,199750,119929202,200215.696160267,263.031442291722,202825,199750,0,0,0,0,0,0,0,0,0,12000,0,5.00295165809575,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613103169797904,0,1613103169797904,1613103169797904,slowDDoS
10.0.0.4-10.0.0.3-45616-47079-6,10.0.0.4,45616,10.0.0.3,47079,6,12/02/2021 02:46:37 pm,119149796,120,0,0,0,0,0,0,0,0,0,0,0,0,1.00713558922082,1001258.78991597,283.9979372672,1001668,1000253,119149796,1001258.78991597,283.9979372672,1001668,1000253,0,0,0,0,0,0,0,0,0,2400,0,1.00713558922082,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613103397793974,0,1613103397793974,1613103397793974,slowDDoS
10.0.0.4-10.0.0.3-45616-47079-6,10.0.0.4,45616,10.0.0.3,47079,6,12/02/2021 02:48:37 pm,119149347,120,0,0,0,0,0,0,0,0,0,0,0,0,1.00713938449029,1001255.01680672,276.433029962272,1001678,1000338,119149347,1001255.01680672,276.433029962272,1001678,1000338,0,0,0,0,0,0,0,0,0,2400,0,1.00713938449029,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1.61310351794528E+015,0,1.61310351794528E+015,1.61310351794528E+015,slowDDoS
10.0.0.4-10.0.0.3-45616-47079-6,10.0.0.4,45616,10.0.0.3,47079,6,12/02/2021 02:50:38 pm,119147515,120,0,0,0,0,0,0,0,0,0,0,0,0,1.00715487016242,1001239.62184874,285.007433492014,1001795,1000268,119147515,1001239.62184874,285.007433492014,1001795,1000268,0,0,0,0,0,0,0,0,0,2400,0,1.00715487016242,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613103638096262,0,1613103638096262,1613103638096262,slowDDoS
10.0.0.4-10.0.0.3-45616-47079-6,10.0.0.4,45616,10.0.0.3,47079,6,12/02/2021 02:52:38 pm,119147963,120,0,0,0,0,0,0,0,0,0,0,0,0,1.00715108322918,1001243.38655462,275.300824961449,1001619,1000365,119147963,1001243.38655462,275.300824961449,1001619,1000365,0,0,0,0,0,0,0,0,0,2400,0,1.00715108322918,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1.61310375824514E+015,0,1.61310375824514E+015,1.61310375824514E+015,slowDDoS
10.0.0.4-10.0.0.3-45616-47079-6,10.0.0.4,45616,10.0.0.3,47079,6,12/02/2021 02:54:38 pm,119148038,120,0,0,0,0,0,0,0,0,0,0,0,0,1.00715044925876,1001244.01680672,273.825596579752,1001855,1000469,119148038,1001244.01680672,273.825596579752,1001855,1000469,0,0,0,0,0,0,0,0,0,2400,0,1.00715044925876,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613103878394445,0,1613103878394445,1613103878394445,slowDDoS
