Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.0.4-10.0.0.3-33100-41637-6,10.0.0.4,33100,10.0.0.3,41637,6,18/02/2021 01:52:10 am,119886170,558,0,0,0,0,0,0,0,0,0,0,0,0,4.65441510059084,215235.493716338,420550.86178012,5083334,165974,119886170,215235.493716338,420550.86178012,5083334,165974,0,0,0,0,0,0,0,0,0,11160,0,4.65441510059084,0,0,0,0,0,0,0,558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,51968514,0,51968514,51968514,806787667989132,1.14097005483667E+015,1613575330894929,5083334,slowDcDDoS
10.0.0.4-10.0.0.3-33872-31354-6,10.0.0.4,33872,10.0.0.3,31354,6,17/02/2021 11:18:07 pm,20988512,228,0,0,0,0,0,0,0,0,0,0,0,0,10.8630854821914,92460.4052863436,381958.379665267,4100396,37946,20988512,92460.4052863436,381958.379665267,4100396,37946,0,0,0,0,0,0,0,0,0,4560,0,10.8630854821914,0,0,0,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613566087767628,0,1613566087767628,1613566087767628,slowDcDDoS
10.0.0.4-10.0.0.3-34682-3959-6,10.0.0.4,34682,10.0.0.3,3959,6,18/02/2021 07:31:11 am,119979835,522,0,0,0,0,0,0,0,0,0,0,0,0,4.35073110410595,230287.591170825,506161.914992236,5112930,165956,119979835,230287.591170825,506161.914992236,5112930,165956,0,0,0,0,0,0,0,0,0,10440,0,4.35073110410595,0,0,0,0,0,0,0,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,22683946.6666667,7886133.78024266,29518141,14055185,403398921688057,806797833178578,1613595671455923,5089397,slowDcDDoS
10.0.0.4-10.0.0.3-33938-25049-6,10.0.0.4,33938,10.0.0.3,25049,6,18/02/2021 09:18:14 am,119987343,470,0,0,0,0,0,0,0,0,0,0,0,0,3.91707982066075,255836.552238806,399336.956328087,5105694,199947,119987343,255836.552238806,399336.956328087,5105694,199947,0,0,0,0,0,0,0,0,0,9400,0,3.91707982066075,0,0,0,0,0,0,0,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,12614723,0,12614723,12614723,806801049770645,1140988979501955,1613602094435596,5105694,slowDcDDoS
10.0.0.4-10.0.0.3-33555-18142-6,10.0.0.4,33555,10.0.0.3,18142,6,18/02/2021 09:39:10 am,118071351,440,0,0,0,0,0,0,0,0,0,0,0,0,3.72656022204743,268955.241457859,520509.034356474,5110794,199887,118071351,268955.241457859,520509.034356474,5110794,199887,0,0,0,0,0,0,0,0,0,8800,0,3.72656022204743,0,0,0,0,0,0,0,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,30925322,18081730.5884198,46740936,11212908,403400841468934,806801672748149,1613603350591158,5073776,slowDcDDoS
10.0.0.4-10.0.0.3-34244-29689-6,10.0.0.4,34244,10.0.0.3,29689,6,17/02/2021 07:54:36 pm,52601474,328,0,0,0,0,0,0,0,0,0,0,0,0,6.23556670674286,160860.77675841,538169.653446666,5130566,89935,52601474,160860.77675841,538169.653446666,5130566,89935,0,0,0,0,0,0,0,0,0,6560,0,6.23556670674286,0,0,0,0,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,20644158.5,24987945.2016435,38313304,2975013,537851295614450,931585762060248,1613553876611864,5100921,slowDcDDoS
10.0.0.4-10.0.0.3-33002-39960-6,10.0.0.4,33002,10.0.0.3,39960,6,18/02/2021 03:21:15 am,24395762,262,0,0,0,0,0,0,0,0,0,0,0,0,10.7395702581457,93470.3524904215,417900.065839134,4093919,42989,24395762,93470.3524904215,417900.065839134,4093919,42989,0,0,0,0,0,0,0,0,0,5240,0,10.7395702581457,0,0,0,0,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1.61358067567069E+015,0,1.61358067567069E+015,1.61358067567069E+015,slowDcDDoS
10.0.0.4-10.0.0.3-33280-25369-6,10.0.0.4,33280,10.0.0.3,25369,6,18/02/2021 08:10:24 am,34907773,387,0,0,0,0,0,0,0,0,0,0,0,0,11.0863560388112,90434.6450777202,525196.384469623,5117826,26922,34907773,90434.6450777202,525196.384469623,5117826,26922,0,0,0,0,0,0,0,0,0,7740,0,11.0863560388112,0,0,0,0,0,0,0,387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,5743459.33333333,6725923.97991305,13189752,109136,403399509986326,806799009758498,1.61359802462407E+015,5098824,slowDcDDoS
10.0.0.4-10.0.0.3-34413-17848-6,10.0.0.4,34413,10.0.0.3,17848,6,17/02/2021 08:47:01 pm,45945055,465,0,0,0,0,0,0,0,0,0,0,0,0,10.1207844892122,99019.5150862068,596256.609051663,5113399,12872,45945055,99019.5150862068,596256.609051663,5113399,12872,0,0,0,0,0,0,0,0,0,9300,0,10.1207844892122,0,0,0,0,0,0,0,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,9985732.66666667,9846550.39739895,20206526,561858,403389259221601,806778508220081,1613557021551722,5108934,slowDcDDoS
10.0.0.4-10.0.0.3-34269-17651-6,10.0.0.4,34269,10.0.0.3,17651,6,18/02/2021 08:43:51 am,29691726,269,0,0,0,0,0,0,0,0,0,0,0,0,9.05976297908717,110790.02238806,621935.055791306,5114065,14958,29691726,110790.02238806,621935.055791306,5114065,14958,0,0,0,0,0,0,0,0,0,5380,0,9.05976297908717,0,0,0,0,0,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,4740374.33333333,5727042.14650044,11115419,30316,403400011746651,806800013270042,1.61360003165171E+015,5108372,slowDcDDoS
