Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.0.4-10.0.0.3-34479-26542-6,10.0.0.4,34479,10.0.0.3,26542,6,18/02/2021 11:26:51 am,119863086,504,0,0,0,0,0,0,0,0,0,0,0,0,4.20479746366617,238296.393638171,526774.997332101,5113113,165873,119863086,238296.393638171,526774.997332101,5113113,165873,0,0,0,0,0,0,0,0,0,10080,0,4.20479746366617,0,0,0,0,0,0,0,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,34137292.6666667,39623904.2143049,78094009,1163067,403402456637294,806804903079853,1613609811257073,5084724,slowDcDDoS
10.0.0.4-10.0.0.3-34909-35716-6,10.0.0.4,34909,10.0.0.3,35716,6,18/02/2021 12:25:13 pm,119807587,493,0,0,0,0,0,0,0,0,0,0,0,0,4.11493138577276,243511.355691057,379557.723306979,5092301,199906,119807587,243511.355691057,379557.723306979,5092301,199906,0,0,0,0,0,0,0,0,0,9860,0,4.11493138577276,0,0,0,0,0,0,0,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,107907682,0,107907682,107907682,806806659234164,1140996912500282,1613613313376027,5092301,slowDcDDoS
10.0.0.4-10.0.0.3-34148-45738-6,10.0.0.4,34148,10.0.0.3,45738,6,18/02/2021 11:49:36 am,16197416,204,0,0,0,0,0,0,0,0,0,0,0,0,12.5946015092778,79790.2266009852,463032.415010946,5115820,18822,16197416,79790.2266009852,463032.415010946,5115820,18822,0,0,0,0,0,0,0,0,0,4080,0,12.5946015092778,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,10948054,0,10948054,10948054,806805590926489,1140995401651818,1613611176737158,5115820,slowDcDDoS
10.0.0.4-10.0.0.3-34266-37981-6,10.0.0.4,34266,10.0.0.3,37981,6,18/02/2021 05:28:30 pm,19430237,343,0,0,0,0,0,0,0,0,0,0,0,0,17.6528984180687,56813.5584795322,421822.832493076,5078177,11975,19430237,56813.5584795322,421822.832493076,5078177,11975,0,0,0,0,0,0,0,0,0,6860,0,17.6528984180687,0,0,0,0,0,0,0,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,9929912,0,9929912,9929912,806815757750892,1.14100977976601E+015,1613631510423606,5078177,slowDcDDoS
10.0.0.4-10.0.0.3-33747-31191-6,10.0.0.4,33747,10.0.0.3,31191,6,18/02/2021 02:41:42 pm,36402580,538,0,0,0,0,0,0,0,0,0,0,0,0,14.7791722454837,67788.7895716946,432389.02513749,5095947,19844,36402580,67788.7895716946,432389.02513749,5095947,19844,0,0,0,0,0,0,0,0,0,10760,0,14.7791722454837,0,0,0,0,0,0,0,538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,30100886,0,30100886,30100886,806810753608033,1.14100270281418E+015,1613621502120119,5095947,slowDcDDoS
10.0.0.4-10.0.0.3-33049-10292-6,10.0.0.4,33049,10.0.0.3,10292,6,18/02/2021 05:38:52 pm,10331789,180,0,0,0,0,0,0,0,0,0,0,0,0,17.4219585785192,57719.4916201117,443891.478186074,5111922,11970,10331789,57719.4916201117,443891.478186074,5111922,11970,0,0,0,0,0,0,0,0,0,3600,0,17.4219585785192,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,879748,0,879748,879748,806816068592114,1141010219314159,1613632132072305,5111922,slowDcDDoS
10.0.0.4-10.0.0.3-33409-17546-6,10.0.0.4,33409,10.0.0.3,17546,6,18/02/2021 02:43:58 pm,19346670,155,0,0,0,0,0,0,0,0,0,0,0,0,8.01171467751298,125627.727272727,585436.360696832,5094112,32748,19346670,125627.727272727,585436.360696832,5094112,32748,0,0,0,0,0,0,0,0,0,3100,0,8.01171467751298,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,396997,0,396997,396997,806810821675479,1.14100279907868E+015,1613621638256847,5094112,slowDcDDoS
10.0.0.4-10.0.0.3-33708-19635-6,10.0.0.4,33708,10.0.0.3,19635,6,18/02/2021 04:34:13 pm,49874841,476,0,0,0,0,0,0,0,0,0,0,0,0,9.54389007475733,104999.665263158,540226.97599781,5102525,31872,49874841,104999.665263158,540226.97599781,5102525,31872,0,0,0,0,0,0,0,0,0,9520,0,9.54389007475733,0,0,0,0,0,0,0,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,19355716,10700061.4352812,26921802,11789630,537876087948457,931628703669560,1613628253645262,5097585,slowDcDDoS
10.0.0.4-10.0.0.3-34992-41636-6,10.0.0.4,34992,10.0.0.3,41636,6,18/02/2021 04:37:07 pm,30298058,334,0,0,0,0,0,0,0,0,0,0,0,0,11.0238088526994,90985.1591591591,547342.64651746,5113471,13700,30298058,90985.1591591591,547342.64651746,5113471,13700,0,0,0,0,0,0,0,0,0,6680,0,11.0238088526994,0,0,0,0,0,0,0,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,21889980,0,21889980,21889980,806814216375191,1141007599881676,1613628427636911,5113471,slowDcDDoS
10.0.0.4-10.0.0.3-33607-35069-6,10.0.0.4,33607,10.0.0.3,35069,6,18/02/2021 12:27:40 pm,11120340,155,0,0,0,0,0,0,0,0,0,0,0,0,13.9384227460671,72210,443412.83253492,4116117,11955,11120340,72210,443412.83253492,4116117,11955,0,0,0,0,0,0,0,0,0,3100,0,13.9384227460671,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613613460048080,0,1613613460048080,1613613460048080,slowDcDDoS
10.0.0.4-10.0.0.3-34417-43830-6,10.0.0.4,34417,10.0.0.3,43830,6,18/02/2021 05:43:06 pm,28412714,261,0,0,0,0,0,0,0,0,0,0,0,0,9.18602848006706,109279.669230769,648714.80155339,5107938,10883,28412714,109279.669230769,648714.80155339,5107938,10883,0,0,0,0,0,0,0,0,0,5220,0,9.18602848006706,0,0,0,0,0,0,0,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,6875078,3243992.36583596,9168927,4581229,537877465655482,931631089929544,1613632386767975,5090533,slowDcDDoS
10.0.0.4-10.0.0.3-33769-31388-6,10.0.0.4,33769,10.0.0.3,31388,6,18/02/2021 04:44:26 pm,41882741,356,0,0,0,0,0,0,0,0,0,0,0,0,8.49992124440948,117979.552112676,630413.416275612,5107683,13926,41882741,117979.552112676,630413.416275612,5107683,13926,0,0,0,0,0,0,0,0,0,7120,0,8.49992124440948,0,0,0,0,0,0,0,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,13774207,14642925.61673,24128319,3420095,537876292082440,931629057234218,1613628866040546,5099092,slowDcDDoS
10.0.0.4-10.0.0.3-34177-49495-6,10.0.0.4,34177,10.0.0.3,49495,6,18/02/2021 11:29:54 am,15218232,120,0,0,0,0,0,0,0,0,0,0,0,0,7.88527865786249,127884.302521008,651585.207453754,5092423,42964,15218232,127884.302521008,651585.207453754,5092423,42964,0,0,0,0,0,0,0,0,0,2400,0,7.88527865786249,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,1442790.5,1735762.59294308,2670160,215421,537870001414434,931618161499821,1.61360999406217E+015,5088714,slowDcDDoS
10.0.0.4-10.0.0.3-33320-35715-6,10.0.0.4,33320,10.0.0.3,35715,6,18/02/2021 02:54:36 pm,32907655,440,0,0,0,0,0,0,0,0,0,0,0,0,13.3707491463612,74960.4897494306,505657.418680336,5098191,11744,32907655,74960.4897494306,505657.418680336,5098191,11744,0,0,0,0,0,0,0,0,0,8800,0,13.3707491463612,0,0,0,0,0,0,0,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,572568,399690.693852134,855192,289944,537874095559910,931625252759282,1613622276488759,5092780,slowDcDDoS
10.0.0.4-10.0.0.3-33756-10121-6,10.0.0.4,33756,10.0.0.3,10121,6,18/02/2021 01:29:18 pm,31450367,336,0,0,0,0,0,0,0,0,0,0,0,0,10.6835001321288,93881.6925373135,500606.858570165,5106472,32953,31450367,93881.6925373135,500606.858570165,5106472,32953,0,0,0,0,0,0,0,0,0,6720,0,10.6835001321288,0,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,18348650,0,18348650,18348650,806808581976120,1140999631647993,1613617158845769,5106472,slowDcDDoS
10.0.0.4-10.0.0.3-33039-63203-6,10.0.0.4,33039,10.0.0.3,63203,6,18/02/2021 04:05:45 pm,27593759,339,0,0,0,0,0,0,0,0,0,0,0,0,12.285386706465,81638.3402366865,496507.477314227,5113890,17928,27593759,81638.3402366865,496507.477314227,5113890,17928,0,0,0,0,0,0,0,0,0,6780,0,12.285386706465,0,0,0,0,0,0,0,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,1013133.5,104399.366494725,1086955,939312,537875518587189,931627717505531,1613626545559859,5087818,slowDcDDoS
10.0.0.4-10.0.0.3-34710-23934-6,10.0.0.4,34710,10.0.0.3,23934,6,18/02/2021 12:11:04 pm,23720388,374,0,0,0,0,0,0,0,0,0,0,0,0,15.7670270823563,63593.5335120644,441717.172915905,5110305,13872,23720388,63593.5335120644,441717.172915905,5110305,13872,0,0,0,0,0,0,0,0,0,7480,0,15.7670270823563,0,0,0,0,0,0,0,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,12602318,0,12602318,12602318,806806234903329,1.1409963123804E+015,1613612464696353,5110305,slowDcDDoS
10.0.0.4-10.0.0.3-34281-29203-6,10.0.0.4,34281,10.0.0.3,29203,6,18/02/2021 11:55:50 am,12605454,259,0,0,0,0,0,0,0,0,0,0,0,0,20.5466617862395,48858.3488372093,341148.020007579,5092756,20919,12605454,48858.3488372093,341148.020007579,5092756,20919,0,0,0,0,0,0,0,0,0,5180,0,20.5466617862395,0,0,0,0,0,0,0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,1538984,0,1538984,1538984,806805777798830,1.14099566596183E+015,1613611550504904,5092756,slowDcDDoS
10.0.0.4-10.0.0.3-34182-46907-6,10.0.0.4,34182,10.0.0.3,46907,6,18/02/2021 12:40:09 pm,15988153,109,0,0,0,0,0,0,0,0,0,0,0,0,6.81754796817368,148038.453703704,382902.699944408,4090434,110883,15988153,148038.453703704,382902.699944408,4090434,110883,0,0,0,0,0,0,0,0,0,2180,0,6.81754796817368,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,0,0,0,0,1613614209373082,0,1613614209373082,1613614209373082,slowDcDDoS
10.0.0.4-10.0.0.3-34147-45532-6,10.0.0.4,34147,10.0.0.3,45532,6,18/02/2021 01:50:25 pm,16573696,288,0,0,0,0,0,0,0,0,0,0,0,0,17.3769327010704,57748.0696864112,422197.494321888,5116977,10958,16573696,57748.0696864112,422197.494321888,5116977,10958,0,0,0,0,0,0,0,0,0,5760,0,17.3769327010704,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,1007167,0,1007167,1007167,806809215252805,1141000527221613,1613618425388634,5116977,slowDcDDoS
10.0.0.4-10.0.0.3-34168-50336-6,10.0.0.4,34168,10.0.0.3,50336,6,18/02/2021 03:41:34 pm,31410342,270,0,0,0,0,0,0,0,0,0,0,0,0,8.59589494441035,116767.07063197,545771.603579663,5112290,44899,31410342,116767.07063197,545771.603579663,5112290,44899,0,0,0,0,0,0,0,0,0,5400,0,8.59589494441035,0,0,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,6154630.5,830190.737267346,6741664,5567597,537875034933297,931626879777505,1613625094580964,5106638,slowDcDDoS
10.0.0.4-10.0.0.3-33224-16001-6,10.0.0.4,33224,10.0.0.3,16001,6,18/02/2021 03:35:13 pm,31476008,376,0,0,0,0,0,0,0,0,0,0,0,0,11.94560631704,83936.0213333333,531700.829484558,5094705,9955,31476008,83936.0213333333,531700.829484558,5094705,9955,0,0,0,0,0,0,0,0,0,7520,0,11.94560631704,0,0,0,0,0,0,0,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1480,0,0,20,10482208,389176.01601589,10757397,10207019,537874907780137,931626659575777,1613624713160751,5084956,slowDcDDoS
